FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,service,source_file,terrain,operateur,lon,lat,region_key,commune_key,nom
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c85,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Agence Moov Sotouboua,"Agence Moov Sotouboua, Sotouboua","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,"{WCs,Latrines a eau}",Moov,moov.csv,,,0.9770733333333333,8.560676666666666,CENTRALE,SOTOUBOUA1,Agence Moov Sotouboua
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c86,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Kossobio,Agence Moov Sokode,"Agence Moov Sokode, Kossobio, 400BP7010/C Direction","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,"{WCs,Douches}",Moov,moov.csv,,,1.1388047548912492,8.989586208250028,CENTRALE,TCHAOUDJO1,Agence Moov Sokode
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c87,Centrale,Blitta,Blitta 1,Blitta-Village,Blitta Sous L'antenne ,Agence Moov Blitta Sous L'Antenne ,"Agence Moov Blitta Sous L'Antenne , Blitta Sous L'Antenne ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Moov,Nsp,Moov,moov.csv,,,1.0083930421985017,8.339181715780521,CENTRALE,BLITTA1,Agence Moov Blitta Sous L'Antenne 
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c88,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe,Moov Store Agoe,"Moov Store Agoe, Agoe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,{Latrines a eau},Moov,moov.csv,,,1.2093339414432598,6.2217219240318204,MARITIME,AGOENYIVE1,Moov Store Agoe
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c89,Maritime,Golfe,Golfe 6,Baguida,Baguida,Moov Store Baguida,"Moov Store Baguida, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,{Latrines a eau},Moov,moov.csv,,,1.3379933333333334,6.167401666666666,MARITIME,GOLFE6,Moov Store Baguida
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c8a,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado,Agence Moov Sagbado,"Agence Moov Sagbado, Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Moov,{WCs},Moov,moov.csv,,,1.13712,6.1936800000000005,MARITIME,GOLFE7,Agence Moov Sagbado
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c8b,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Telessou ,Agence Moov Store Telessou,"Agence Moov Store Telessou, Telessou ","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp ,Nsp,Agence Moov,Nsp,Moov,moov.csv,,,1.1745742061042703,6.213509940345563,MARITIME,AGOENYIVE3,Agence Moov Store Telessou
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c8c,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidoadin,Agence Moov Adidoadin,"Agence Moov Adidoadin, Adidoadin","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,Nsp,Agence Moov,Nsp,Moov,moov.csv,,,1.1883008398175776,6.199214219034881,MARITIME,GOLFE5,Agence Moov Adidoadin
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c8d,Maritime,Golfe,Golfe 3,Bè-Ouest,Nukafu,Agence Moov Nukafu,"Agence Moov Nukafu, Nukafu","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,{Utilise},Agence Moov,"{WCs,Douches}",Moov,moov.csv,,,1.2344614186634568,6.170216280162648,MARITIME,GOLFE3,Agence Moov Nukafu
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c8e,Maritime,Golfe,Golfe 1,Bè-Est,Kpota,Agence Moov Be Kpota,"Agence Moov Be Kpota, Kpota","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,{Utilise},Agence Moov,"{WCs,Douches}",Moov,moov.csv,,,1.2552833333333333,6.157663333333333,MARITIME,GOLFE1,Agence Moov Be Kpota
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c8f,Maritime,Golfe,Golfe 1,Bè-Est,Ocam,Agence Moov Ocam,"Agence Moov Ocam, Ocam, BP14511 Lomé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,"{WCs,Douches}",Moov,moov.csv,,,1.24004,6.130493333333334,MARITIME,GOLFE1,Agence Moov Ocam
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c90,Maritime,Golfe,Golfe 4,Amoutivé,Hanoukope,Agence Moov Hanoukope,"Agence Moov Hanoukope, Hanoukope","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2013,{Utilise},Agence Moov,"{WCs,Douches}",Moov,moov.csv,,,1.219526636567681,6.135790653612904,MARITIME,GOLFE4,Agence Moov Hanoukope
