commune_key,pop
ABLOGAME,8155
ABLOGOME,4167
ABOBO,40622
ABOBOKOME,1432
ABOVE,5000
ADAKPAME,35094
ADAMAVO,56103
ADAWLATO,132
ADETIKOPECENTRE,18033
ADIDOADIN,6394
ADIVA,1158
ADJAHUNFIAGBE,2934
ADJENGRE,21727
ADJOUGBA,4316
ADOBOUKOME,2003
ADOGBENOU,37998
ADOGLOVE,4303
ADOUIKO,19470
ADZAKPA,7436
AFAGNAGAN,19478
AFAGNAN,15929
AFFEM,9263
AFIADEGNIGBA,4257
AFLAOGAKLI,17108
AGBADAHONOU,534
AGBALEPEDOGAN,22076
AGBANDEYAKA,8915
AGBANDI,12122
AGBELOUVE,50219
AGBETIKO,4087
AGBLELIKO,2736
AGBODRAFO,35262
AGNAVE,7312
AGODEKE,19101
AGOENYIVE,882695
AGOENYIVE1,317255
AGOENYIVE2,128164
AGOENYIVE3,47554
AGOENYIVE4,154431
AGOENYIVE5,125097
AGOENYIVE6,110194
AGOME,1785
AGOMEGLOZOU,7254
AGOMEKPALIME,87478
AGOMETOMEGBE,2833
AGOSSITO,2914
AGOTIME,6442
AGOTIMENORD,8332
AGOU,85793
AGOU1,58328
AGOU2,27465
AGOUAKPLOLO,2609
AGOUATIGBE,1845
AGOUEGAN,11825
AGOUKEBO,2708
AGOULOU,13714
AGOUTAVIE,9019
AGOUYIBOE,2894
AGUIAKOME,3499
AHASSOME,9928
AHEPE,18138
AHLON,4423
AHONGAKOPEASSIYEYE,5188
AHONKPOE,16467
AKATA,7655
AKATOAVOEME,7336
AKATODEME,5146
AKATOVIEPE,13497
AKEBOU,73830
AKEBOU1,44196
AKEBOU2,29634
AKEPE,16961
AKLAKOU,31030
AKODESSEWA,6521
AKODESSEWAKPONOU,14510
AKODESSEWAKPOTA,11683
AKOIN,11373
AKOSSOMBO,3742
AKOUMAPE,19187
AKPAKPAKPE,12369
AKPARE,27467
AKPONTE,8877
ALEDJO,4809
ALEHERIDE,6123
ALIBI,10324
ALINKA,7961
ALINKANYIVEMEGBLE,4932
ALLOUM,10239
AMADAHOME,15647
AMADENTAANAGLIKOPE,2188
AMAIDE,4338
AMEDENTAAKIKOPE,3191
AMOU,114172
AMOU1,19746
AMOU2,54410
AMOUOBLO,19923
AMOUSSIME,12720
AMOUSSOUKOPE,11697
AMOUTIVE,5344
ANEHO,28237
ANFAME,62588
ANFOIN,17172
ANIE,180158
ANIE1,100745
ANIE2,79413
ANIMA,1092
ANOKUI,2197
ANOKUIKOMEKOPE,1896
ANOKUINOGO,13384
ANOMEGBLE,9152
ANOMEGBONVE,9735
ANTONIONETIME,1564
ANYIGBE,6313
ANYRONKOPE,6143
AOUDA,17291
APEDOKOE,14800
APEDOKOEAGOKPANOU,13316
APEDOKOEGBOMAME,19660
APEGNIGBI,7222
APELEBUIME,847
ASRAMA,50994
ASSAHOUNANDO,40644
ASSIGOME,2500
ASSIKO,2268
ASSOLI,66394
ASSOLI1,40417
ASSOLI2,9933
ASSOLI3,16044
ATALOTE,17429
ATCHANGBADE,16876
ATCHAVE,25560
ATCHINEDJI,18000
ATCHINTSE,4572
ATHIEME,8384
ATHIEMEAHONKPOE,8104
ATIEGOU1,19315
ATIEGOU2,26975
ATIGANCOPE,7627
ATSANVE,8969
ATTITOGON,31288
AVE1,75044
AVE2,36170
AVEDJEITADI,3116
AVEDJITELESSOU,31612
AVENOUBATOME,4829
AVEPOZO,15685
AVEYIME,889
AVINATO,3504
AWANDJELO,12147
AWATAME,20349
AWOUDJAKOPE,24218
AYITO,7262
AZOGBEGAN,5347
BADIN,26879
BADJA,9413
BADOU,20144
BAFILO,27038
BAGA,5905
BAGHAN,11814
BAGO,36587
BAGOU,2390
BAGUIDA,46017
BALANKA,11784
BANGELI,15571
BAPURE,25428
BARKOISSI,21060
BASMONO,94860
BASMONO1,55382
BASMONO2,39478
BASSADJI,2230
BASSAR,152065
BASSAR1,65059
BASSAR2,36476
BASSAR3,33873
BASSAR4,16657
BE,10815
BEAHLIGO,6339
BEAPEYEME,12253
BEHEDJE,11686
BEKLIKAME,8950
BEKPEHENOU,6569
BEKPOTA,41682
BENIGLATO,3051
BIANKOURI,11757
BIDJENGA,10646
BINAH,84199
BINAH1,44039
BINAH2,40160
BITCHABE,7142
BLITTA,163272
BLITTA1,71539
BLITTA2,46515
BLITTA3,45218
BLITTAGARE,14067
BLITTAVILLAGE,10794
BOADE,7403
BODJONDE,2218
BOGOU,10506
BOHOU,6739
BOKORKOPE,19051
BOKPOKO,1289
BOLOU,12878
BOMBOUAKA,10769
BORGOU,40462
BOUFALE,5801
BOULADE,5384
BOULOGOU,6101
BOULOHOU,5831
CASABLANCA,1993
CENTRALE,795529
CINKASSE,128959
CINKASSE1,75992
CINKASSE2,52967
DAGBATI,18206
DAGL,2188376
DAKODAOUDE,7995
DALAVE,24596
DALIA,16372
DALIKO,16109
DALIME,1456
DANGBESSITO,8307
DANKPEN,185662
DANKPEN1,76294
DANKPEN2,32716
DANKPEN3,76652
DANYI,40240
DANYI1DANYI2,40240
DANYIATIGBADANYIELAVANYO,22125
DANYIKAKPA,8891
DANYIKPETOEVITA,3558
DAPAONG,144711
DARAKOPE,3818
DATCHA,15180
DAVIE,40518
DEFALE,6938
DEGOME,11166
DEKPORWOUGOMEDEKPOR,3648
DEKPOSANGUERA,3803
DEMAKPOE,22858
DEVEGO,26711
DEVIME,10545
DIGUENGUE,1523
DIKAME,16203
DIKPELEOU,2086
DIMORI,13763
DJAGBLE,65455
DJAMA,45885
DJAMDE,3778
DJARKPANGA,19374
DJELEDZI,16076
DJEMEGNI,31513
DJIGBLE,11680
DJON,13562
DOGBEAVOU,10365
DOUFELGOU,84767
DOUFELGOU1,44783
DOUFELGOU2,11722
DOUFELGOU3,28262
DOUFOULI,2605
DOUKPERGOU,7026
DOULASSAME,8328
DOUMASSESSE,20792
DOUME,4642
DOUTHEKOPE,2215
DZOLO,8101
DZOVE,6202
DZREKPO,29687
EDZI,1832
EKETOGBANDINKOUGNAGOBE,20414
EKPEGNON,6098
ELAVAGNON,25016
ELAVANYOATSANVE,7707
ELAVANYOKLEVE,2714
ESSEGODJIN,7897
ESTMONO,164460
ESTMONO1,34652
ESTMONO2,101866
EVOU,4893
EZIONKOPE,2065
FARE,4576
FAZAO,2289
FIATA,8988
FIDOKPUI,15097
FIOVI,10202
FREAUJARDIN,715
GADJA,20634
GALANGASHIE,14810
GAME,17624
GANAVE,11062
GANDO,41374
GAPECENTRE,20215
GAPEKPODJI,8489
GBADJAHE,9636
GBALAVE,2304
GBATOPE,26317
GBENDE,6071
GBENYEDJI,11299
GBLAINVIE,9225
GBLENKOMEGAN,12769
GBODJOME,72914
GBONVIE,6534
GBOTO,13168
GLEI,51836
GLIDJI,24757
GLITTO,23415
GNAGNA,60222
GNAMASSIGAN,6893
GNOAGA,1656
GOLFE,1305681
GOLFE1,351550
GOLFE2,136153
GOLFE3,52769
GOLFE4,155842
GOLFE5,169993
GOLFE6,181561
GOLFE7,257813
GOUBI,10845
GOULOUNGOUSSI,3707
GOUNDOGA,6348
GUENOUKOPE,14383
GUERINKOUKA,48399
HAHO,305096
HAHO1,119929
HAHO2,82507
HAHO3,58695
HAHO4,43965
HAHOMEGBE,19014
HAHOTOE,14393
HANOUKOPE,2806
HANYIGBA,4455
HAOUSSAZONGO,12509
HEDZRANAWOE,51637
HELOTA,16034
HIHEATRO,23330
HOMPOU,4103
HOSSOUKOPE,3946
HOUMBI,6410
HOUMBIGBLE,4267
IMLE,4806
KABOLI,30575
KABOU,26604
KADAMBARA,23526
KADJALLA,9835
KAGNIGBARA,5317
KALANGA,7399
KAMINA,25692
KANDE,26266
KANIAMBOUA,2190
KANTINDI,14016
KANYIKOPE,26457
KARA,985512
KATCHAMBA,9121
KATCHENKE,3255
KATI,8231
KATOME,8105
KATORE,13635
KAZABOUA,9347
KELEGOUGAN1,13145
KELEGOUGAN2,14240
KELEGOUGAN3,762
KELEGOUGANDIGBLE,6216
KEMENI,2876
KEMERIDA,7182
KERAN,128687
KERAN1,44399
KERAN2,53305
KERAN3,30983
KERIADE,3524
KESSIBO,10490
KETAO,25809
KEVE,11735
KIDJABOUN,18857
KINIKONDJI,5465
KITIDJAN,12957
KLABEEFOUKPA,5903
KLADJEME,8624
KLEMEAGOKPANOU,13068
KLEMESANGUERA,6085
KLEMEYEWEPE,14823
KLEVE,6081
KLEVEAPENYIGBE,3970
KLEVEASSIYEYE,9314
KLIKAME,5287
KLOBATEME,6852
KLOTO,145986
KLOTO1,118387
KLOTO2,16166
KLOTO3,11433
KODJOVIAKOPE,14848
KOFFITI,10294
KOHE,12626
KOKA,3433
KOKETIME,642
KOLINA,4147
KOLOKOPE,14918
KOMAH,91606
KOPEGAN,5346
KORBONGOU,25609
KOTOKOLIZONZO,11492
