region_nom_bdd,commune_nom_bdd,points,mobile_money,infrastructures,services,commune_key,pop,points_per_10k,mobile_money_per_10k,infrastructures_per_100k,priorite
Kara,Dankpen 3,37,37,0,1,DANKPEN3,76652.0,4.827010384595314,4.827010384595314,0.0,91
Plateaux,Anié 2,48,48,0,1,ANIE2,79413.0,6.04435042121567,6.04435042121567,0.0,90
Plateaux,Haho 2,54,54,0,1,HAHO2,82507.0,6.544899220672185,6.544899220672185,0.0,89
Maritime,Zio 2,81,81,0,1,ZIO2,96193.0,8.420571143430395,8.420571143430395,0.0,85
Plateaux,Amou 2,31,31,0,1,AMOU2,54410.0,5.697482080499908,5.697482080499908,0.0,85
Maritime,Yoto 3,27,27,0,1,YOTO3,54086.0,4.992049698628111,4.992049698628111,0.0,85
Centrale,Blitta 2,9,9,0,1,BLITTA2,46515.0,1.9348597226701063,1.9348597226701063,0.0,84
Centrale,Blitta 3,6,6,0,1,BLITTA3,45218.0,1.3269052147374938,1.3269052147374938,0.0,84
Kara,Kéran 2,38,38,0,1,KERAN2,53305.0,7.128787168183097,7.128787168183097,0.0,83
Plateaux,Est-Mono 2,99,99,0,1,ESTMONO2,101866.0,9.718649991164863,9.718649991164863,0.0,82
Savanes,Kpendjal-Ouest 2,56,56,0,1,KPENDJALOUEST2,66871.0,8.37433267036533,8.37433267036533,0.0,82
Plateaux,Ogou 2,44,44,0,1,OGOU2,56282.0,7.817774777015742,7.817774777015742,0.0,82
Savanes,Kpendjal 2,5,5,0,1,KPENDJAL2,40462.0,1.2357273491176908,1.2357273491176908,0.0,82
Savanes,Tandjoaré 1,66,66,0,1,TANDJOARE1,74692.0,8.836287688105822,8.836287688105822,0.0,81
Savanes,Kpendjal 1,36,36,0,1,KPENDJAL1,47903.0,7.5151869402751394,7.5151869402751394,0.0,80
Kara,Kéran 3,10,10,0,1,KERAN3,30983.0,3.2275764128715747,3.2275764128715747,0.0,78
Centrale,Tchamba 2,85,85,0,1,TCHAMBA2,64930.0,13.091021099645772,13.091021099645772,0.0,75
Centrale,Mô 2,7,7,0,1,MO2,21926.0,3.192556781902764,3.192556781902764,0.0,75
Savanes,Tône 3,83,83,0,1,TONE3,60276.0,13.769991373017453,13.769991373017453,0.0,73
Savanes,Kpendjal-Ouest 1,73,73,0,1,KPENDJALOUEST1,56459.0,12.929736623036186,12.929736623036186,0.0,73
