region_nom_bdd,commune_nom_bdd,points,mobile_money,infrastructures,services,commune_key,pop,points_per_10k,mobile_money_per_10k,infrastructures_per_100k
Centrale,Blitta 1,79,75,4,4,BLITTA1,71539.0,11.042927633878024,10.483792057479139,5.591355763988873
Centrale,Blitta 2,9,9,0,1,BLITTA2,46515.0,1.9348597226701063,1.9348597226701063,0.0
Centrale,Blitta 3,6,6,0,1,BLITTA3,45218.0,1.3269052147374938,1.3269052147374938,0.0
Centrale,Mô 1,25,25,0,1,MO1,30522.0,8.190813183932901,8.190813183932901,0.0
Centrale,Mô 2,7,7,0,1,MO2,21926.0,3.192556781902764,3.192556781902764,0.0
Centrale,Sotouboua 1,157,151,6,4,SOTOUBOUA1,46907.0,33.470484149487284,32.19135736670433,12.791267827829534
Centrale,Sotouboua 2,107,107,0,1,SOTOUBOUA2,64187.0,16.670042220387305,16.670042220387305,0.0
Centrale,Sotouboua 3,97,97,0,1,SOTOUBOUA3,27770.0,34.92978033849478,34.92978033849478,0.0
Centrale,Tchamba 1,54,52,2,3,TCHAMBA1,82451.0,6.549344459133303,6.30677614583207,2.4256831330123347
Centrale,Tchamba 2,85,85,0,1,TCHAMBA2,64930.0,13.091021099645772,13.091021099645772,0.0
Centrale,Tchamba 3,70,68,2,3,TCHAMBA3,53204.0,13.156905495827381,12.780993910232313,3.7591158559506805
Centrale,Tchaoudjo 1,1276,1268,8,4,TCHAOUDJO1,177706.0,71.80399086131025,71.3538091004243,4.501817608859577
Centrale,Tchaoudjo 2,45,45,0,1,TCHAOUDJO2,24891.0,18.07882367120646,18.07882367120646,0.0
Centrale,Tchaoudjo 3,65,65,0,1,TCHAOUDJO3,17484.0,37.1768474033402,37.1768474033402,0.0
Centrale,Tchaoudjo 4,33,33,0,1,TCHAOUDJO4,20279.0,16.272991764879926,16.272991764879926,0.0
Kara,Assoli 1,171,169,2,3,ASSOLI1,40417.0,42.30892941089146,41.814088131231905,4.948412796595492
Kara,Assoli 2,31,31,0,1,ASSOLI2,9933.0,31.209100976542835,31.209100976542835,0.0
Kara,Assoli 3,28,28,0,1,ASSOLI3,16044.0,17.452006980802793,17.452006980802793,0.0
Kara,Bassar 1,277,273,4,4,BASSAR1,65059.0,42.57673803778109,41.96191149571927,6.148265420618208
Kara,Bassar 2,54,54,0,1,BASSAR2,36476.0,14.804254852505757,14.804254852505757,0.0
Kara,Bassar 3,82,80,2,3,BASSAR3,33873.0,24.208071325244294,23.617630561213947,5.904407640303487
Kara,Bassar 4,29,29,0,1,BASSAR4,16657.0,17.41009785675692,17.41009785675692,0.0
Kara,Binah 1,92,92,0,1,BINAH1,44039.0,20.890574263720794,20.890574263720794,0.0
Kara,Binah 2,120,120,0,1,BINAH2,40160.0,29.8804780876494,29.8804780876494,0.0
